cliente_id,tipo_cliente,antiguedad_meses,tiene_movil,tiene_hogar,oferta_hogar_id,tiene_internet_hogar,es_movistar_total,elegible_mt,plan_actual_id,monto_facturado_prom,edad_rango,ubicacion_departamento,es_usuario_app,consumo_datos_gb_prom,consumo_voz_min_prom,consumo_sms_prom,uso_app_movistar_prom,monto_facturado_prom_6m,dias_mora_prom,meses_moroso,n_reclamos,n_actividad_canal,canal_mas_usado
CLI000013,postpago,133,True,True,OF006,True,False,True,OF004,89.49,18-25,Lima,True,52.49166666666667,194.83333333333334,5.5,2.8333333333333335,89.08833333333332,6.166666666666667,1,0,5,Digital
CLI000041,postpago,30,True,True,OF005,True,False,True,OF003,86.1,36-45,Cusco,True,38.531666666666666,129.16666666666666,7.166666666666667,2.6666666666666665,86.77,9.333333333333334,1,0,3,Call In
CLI000048,postpago,161,True,True,OF006,True,False,True,OF004,105.5,36-45,Junin,True,52.115,172.66666666666666,8.166666666666666,4.166666666666667,105.22833333333334,5.833333333333333,1,0,10,Call In
CLI000053,postpago,66,True,True,OF006,True,False,True,OF002,60.34,26-35,Piura,True,18.98,307.6666666666667,9.333333333333334,3.6666666666666665,60.15833333333333,9.0,2,0,6,Call In
CLI000060,postpago,123,True,True,OF010,True,False,True,OF001,37.48,46-55,Lima,True,7.171666666666667,164.16666666666666,7.5,3.0,37.915,17.666666666666668,3,0,8,Tienda
CLI000073,postpago,84,True,True,OF008,True,False,True,OF004,105.81,36-45,La Libertad,True,76.34166666666667,228.16666666666666,7.5,3.5,105.375,5.333333333333333,1,0,5,Call Out
CLI000084,postpago,150,True,True,OF009,True,False,True,OF003,80.07,26-35,Lima,True,29.98,142.83333333333334,8.0,3.0,79.55,9.333333333333334,1,0,9,Tienda
CLI000094,postpago,70,True,True,OF010,True,False,True,OF004,106.48,36-45,Lambayeque,False,62.88999999999999,129.0,8.333333333333334,0.0,107.14166666666667,8.0,1,0,7,Call In
CLI000115,postpago,92,True,True,OF008,True,False,True,OF002,63.09,26-35,Lima,True,17.525000000000002,141.83333333333334,6.333333333333333,4.0,61.928333333333335,2.0,0,2,7,Digital
CLI000135,postpago,144,True,True,OF005,True,False,True,OF002,62.09,46-55,Lambayeque,True,15.275,240.5,7.833333333333333,2.3333333333333335,60.99,8.833333333333334,1,0,13,Digital
CLI000001,postpago,17,True,False,,False,False,False,OF002,58.39,56-65,Junin,True,20.103333333333335,200.0,8.166666666666666,3.3333333333333335,58.251666666666665,24.833333333333332,3,0,7,Call In
CLI000002,,140,False,True,OF009,True,False,False,OF009,111.41,26-35,Cusco,True,2.598333333333333,219.0,8.5,2.5,112.18666666666667,18.0,2,0,3,Digital
CLI000003,postpago,118,True,True,OF007,False,False,False,OF004,100.71,36-45,Arequipa,False,64.24333333333334,149.16666666666666,8.5,0.0,99.63,1.1666666666666667,0,1,3,Tienda
CLI000004,prepago,79,True,False,,False,False,False,OF003,70.44,18-25,La Libertad,True,30.84166666666667,183.16666666666666,5.833333333333333,2.0,71.75833333333334,15.333333333333334,2,0,6,Call In
CLI000005,prepago,78,True,False,,False,False,False,OF003,76.87,36-45,Lambayeque,True,37.77333333333333,271.8333333333333,5.166666666666667,2.1666666666666665,77.00666666666666,17.333333333333332,2,0,1,Digital
CLI000006,prepago,155,True,False,,False,False,False,OF001,36.57,26-35,Lima,True,9.668333333333333,155.5,7.166666666666667,3.1666666666666665,35.986666666666665,10.0,1,1,4,Tienda
CLI000007,postpago,16,True,False,,False,False,False,OF001,36.15,36-45,Lima,True,9.963333333333333,105.66666666666667,8.333333333333334,2.6666666666666665,36.425000000000004,15.333333333333334,3,0,4,Call Out
CLI000008,prepago,126,True,True,OF006,True,False,False,OF003,87.75,26-35,Lima,True,36.295,154.33333333333334,9.5,2.5,87.95833333333333,15.333333333333334,2,2,11,Digital
CLI000009,prepago,37,True,True,OF008,True,False,False,OF004,102.87,56-65,Lima,True,55.73,157.16666666666666,6.5,3.3333333333333335,102.71666666666665,5.333333333333333,1,0,8,Digital
CLI000010,postpago,17,True,False,,False,False,False,OF004,92.99,18-25,Lima,True,50.91833333333333,237.83333333333334,8.666666666666666,3.3333333333333335,91.425,13.833333333333334,2,0,5,Tienda
CLI000011,,95,False,True,OF005,True,False,False,OF005,83.53,46-55,Junin,True,2.4966666666666666,116.0,6.5,3.3333333333333335,83.71833333333333,0.0,0,0,7,Call In
CLI000012,postpago,176,True,False,,False,False,False,OF004,100.54,56-65,Piura,True,53.251666666666665,182.66666666666666,8.166666666666666,2.0,100.37333333333333,0.0,0,0,5,Call In
CLI000014,prepago,138,True,True,OF005,True,False,False,OF004,91.01,36-45,Lima,True,58.065,203.0,7.0,1.8333333333333333,90.35166666666667,4.333333333333333,1,0,5,Digital
CLI000015,,130,False,True,OF007,False,False,False,OF007,79.78,36-45,Lima,True,2.0166666666666666,176.16666666666666,6.0,4.666666666666667,78.35333333333334,6.833333333333333,1,0,3,Call In
CLI000016,prepago,142,True,True,OF006,True,False,False,OF002,56.64,65+,Arequipa,True,19.391666666666666,188.16666666666666,8.333333333333334,2.8333333333333335,57.09833333333333,1.6666666666666667,0,0,5,Tienda
CLI000017,prepago,93,True,True,OF005,True,False,False,OF003,82.41,56-65,Lima,False,35.83833333333333,131.5,8.333333333333334,0.0,84.53,0.0,0,0,6,Call In
CLI000018,postpago,24,True,True,OF005,True,True,False,OF021,198.36,26-35,Otro,True,35.60666666666666,182.33333333333334,10.333333333333334,3.0,196.62166666666667,9.333333333333334,1,0,3,Tienda
